[2024-10-14 14:05:41] ,3, Receive TERM : 00:00:00.479
[2024-10-14 14:05:42] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:42] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:42] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:42] ,3, Receive TERM : 00:00:00.510
[2024-10-14 14:05:42] ,4, Receive TERM : 00:00:00.510
[2024-10-14 14:05:42] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:42] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:42] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:43] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:43] ,1, Receive TERM : 00:00:00.478
[2024-10-14 14:05:43] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:43] ,3, Receive TERM : 00:00:00.479
[2024-10-14 14:05:43] ,4, Receive TERM : 00:00:00.477
[2024-10-14 14:05:43] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:43] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:43] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:44] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:44] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:44] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:44] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:44] ,4, Receive TERM : 00:00:00.480
[2024-10-14 14:05:44] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:44] ,2, Receive TERM : 00:00:00.496
[2024-10-14 14:05:44] ,3, Receive TERM : 00:00:00.479
[2024-10-14 14:05:44] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:45] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:45] ,2, Receive TERM : 00:00:00.493
[2024-10-14 14:05:45] ,3, Receive TERM : 00:00:00.511
[2024-10-14 14:05:45] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:45] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:45] ,2, Receive TERM : 00:00:00.493
[2024-10-14 14:05:45] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:45] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:46] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:46] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:46] ,3, Receive TERM : 00:00:00.452
[2024-10-14 14:05:46] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:46] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:46] ,2, Receive TERM : 00:00:00.511
[2024-10-14 14:05:46] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:46] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:47] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:47] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:47] ,3, Receive TERM : 00:00:00.509
[2024-10-14 14:05:47] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:47] ,1, Receive TERM : 00:00:00.479
[2024-10-14 14:05:47] ,2, Receive TERM : 00:00:00.480
[2024-10-14 14:05:47] ,3, Receive TERM : 00:00:00.463
[2024-10-14 14:05:47] ,4, Receive TERM : 00:00:00.479
[2024-10-14 14:05:48] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:48] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:48] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:48] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:48] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:48] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:48] ,3, Receive TERM : 00:00:00.492
[2024-10-14 14:05:48] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:49] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:49] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:49] ,3, Receive TERM : 00:00:00.511
[2024-10-14 14:05:49] ,4, Receive TERM : 00:00:00.510
[2024-10-14 14:05:49] ,1, Receive TERM : 00:00:00.492
[2024-10-14 14:05:49] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:49] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:49] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:50] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:50] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:50] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:50] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:50] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:50] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:50] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:50] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:51] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:05:51] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:51] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:51] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:05:51] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:51] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:51] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:51] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:52] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:52] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:52] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:52] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:52] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:52] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:52] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:52] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:53] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:53] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:53] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:53] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:53] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:53] ,2, Receive TERM : 00:00:00.512
[2024-10-14 14:05:53] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:53] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:54] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:05:54] ,2, Receive TERM : 00:00:00.479
[2024-10-14 14:05:54] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:54] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:54] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:54] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:54] ,3, Receive TERM : 00:00:00.493
[2024-10-14 14:05:54] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:55] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:55] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:55] ,3, Receive TERM : 00:00:00.492
[2024-10-14 14:05:55] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:55] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:55] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:55] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:55] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:56] ,1, Receive TERM : 00:00:00.492
[2024-10-14 14:05:56] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:56] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:56] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:56] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:56] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:56] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:56] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:05:57] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:57] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:57] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:57] ,4, Receive TERM : 00:00:00.496
[2024-10-14 14:05:57] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:57] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:57] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:57] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:58] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:58] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:58] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:58] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:05:58] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:58] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:58] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:58] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:59] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:59] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:59] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:59] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:05:59] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:59] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:59] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:59] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:06:00] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:00] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:06:00] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:06:01] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:06:01] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:06:01] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:01] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:06:01] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:01] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:01] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:01] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:02] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:06:02] ,2, Receive TERM : 00:00:00.493
[2024-10-14 14:06:02] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:02] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:06:02] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:02] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:02] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:02] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:03] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:06:03] ,2, Receive TERM : 00:00:00.478
