[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:50] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.124
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:51] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:52] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.129
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.122
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:53] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:54] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:55] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:56] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:57] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.123
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.126
